재료명,빈도,출처,표준명후보,규칙,신뢰도,확정
우렁이,1,식,,,,
우목심,1,식,,,,
우무,1,농,,,,
우무묵,1,식,,,,
우묵,1,농,,,,
우삼겹,1,식,,,,
우육(분쇄육),1,식,,,,
울금가루,1,식,,,,
월계수잎마른것,1,식,,,,
유 자청,1,식,유자청,표기(공백·괄호),A,
유기농 밀가루,1,식,밀가루,접두:유기농,A,
유기농 아기치즈,1,식,,,,
유자,1,식,,,,
유자앙금,1,식,,,,
유자필,1,식,,,,
육수용 대파,1,농,,,,
육수용 무,1,농,,,,
육수용 물,1,농,,,,
육수용멸치,1,농,,,,
육회,1,농,,,,
으깬두부,1,식,두부,표기(공백·괄호),A,
은박컵,1,농,,,,
이태리고추,1,농,,,,
이태리시즈닝,1,식,,,,
익힌 전복내장,1,식,,,,
인절미,1,농,,,,
일본 된장,1,식,일본된장,표기(공백·괄호),A,
일식된장,1,식,,,,
일식된장 미소,1,식,,,,
잉어,1,농,,,,
잎녹차,1,식,,,,
자몽주수,1,식,,,,
잔새우살다진것,1,식,,,,
잘게 다진 새우젓,1,식,,,,
잡곡밥,1,식,,,,
잡곡밥흑미 검은콩,1,식,,,,
잣 바질페이소스,1,식,,,,
장식용어묵,1,농,,,,
장어대리,1,농,,,,
장어뼈,1,농,,,,
장조림,1,농,,,,
재첩,1,농,,,,
저나트륨 베이킹 파우더,1,식,,,,
저나트륨소금,1,식,,,,
저민마늘,1,농,마늘,접두:저민,A,
저염살라미,1,식,,,,
저염재래된장 콩,1,식,,,,
저염진간장,1,식,진간장,접두:저염,A,
적겨자,1,식,적겨자,수기,B,겨자잎(채소) — 조미료 겨자와 다름. 산채쌀파스타에서 신선초·참나물과 함께
적근대,1,식,근대,접두:적,B,
적양배추잎,1,농,,,,
적포도주,1,식,,,,
전립분,1,식,,,,
전복살,1,식,전복,접미:살,A,
전어,1,농,,,,
전어젓갈,1,농,,,,
절임 올리브,1,식,,,,
절임무,1,농,,,,
절임물,1,식,,,,
절편,1,식,,,,
젓국,1,농,,,,
제빵개량제,1,식,,,,
조랭이 떡,1,식,,,,
조림간장,1,농,,,,
조미료,1,농,,,,
조선부추,1,식,,,,
족발,1,식,,,,
좁쌀,1,식,,,,
주먹밥 데친 꼬막살,1,식,,,,
주황 파프리카,1,식,파프리카,접두:주황,B,
죽순통조림,1,식,,,,
줄기토마토,1,식,,,,
중국부추,1,농,,,,
중새우,1,농,,,,
중새우살,1,농,,,,
증편,1,식,,,,
진달래꽃,1,식,,,,
진미채,1,식,,,,
쪽갈비,1,식,,,,
쫄면 사리,1,식,,,,
찐 감자,1,식,,,,
찐 고구마,1,식,,,,
찐 어묵,1,식,,,,
찐옥수수 알갱이,1,농,,,,
찜갈비,1,식,,,,
차조,1,농,,,,
찬물,1,농,,,,
찰깨빵,1,식,,,,
찰보리,1,식,,,,
찰어묵,1,식,,,,
참께,1,식,,,,
참느타리버섯,1,식,,,,
참다래,1,식,,,,
참소라살,1,농,,,,
참쌀,1,농,,,,
참취,1,식,,,,
참치살,1,식,참치,접미:살,A,
참치캔,1,농,,,,
참치통조림,1,농,,,,
찹쌀현미밥,1,식,,,,
채 썬 돼지고기,1,식,돼지고기,접두:채썬,A,
채 썬 쇠고기,1,식,소고기,접두:채썬,A,
채 썬 양파,1,식,양파,접두:채썬,A,
채소,1,농,,,,
채소 육수,1,식,,,,
채소국물,1,식,,,,
채썬마늘,1,농,마늘,접두:채썬,A,
채썬생강,1,농,생강,접두:채썬,A,
천연다시다,1,식,,,,
천연조미료,1,식,,,,
청 피망,1,식,피망,표기(공백·괄호),A,
청·홍고추다진것,1,식,,,,
청경재,1,식,,,,
청고주,1,식,,,,
청고추 다진것,1,식,청고추,표기(공백·괄호),A,
청동호박,1,농,,,,
청상추,1,식,,,,
청어알,1,농,,,,
청장,1,농,,,,
청정원국선생,1,농,,,,
청정원굴소스,1,농,,,,
청정원순창쌈장,1,농,,,,
청정원어장,1,농,,,,
체더치즈,1,식,,,,
체리알,1,농,,,,
체리토마토,1,식,,,,
쳥양고추,1,식,,,,
초밥,1,농,,,,
초콜릿,1,농,,,,
총각무,1,농,,,,
치아바타,1,식,,,,
치자국수,1,식,,,,
치킨스톡,1,식,,,,
칠리,1,농,,,,
카레,1,농,,,,
카스테라,1,식,,,,
카스텔라가루,1,식,,,,
카엔패퍼,1,식,,,,
카엔페퍼,1,식,,,,
카옌 페퍼,1,식,,,,
카카오 닙스,1,식,,,,
카카오닙스,1,식,,,,
카카오매스,1,식,,,,
칵텔새우,1,식,,,,
캔 옥수수,1,식,,,,
캔 토마토,1,식,,,,
커리 소스,1,식,,,,
커리가루,1,식,,,,
커민파우더,1,식,,,,
커피,1,식,,,,
케이엔페퍼,1,식,,,,
코리앤더 씨드,1,식,,,,
코리앤더가루,1,식,,,,
코리앤더파우더,1,식,,,,
코코넛 밀크,1,식,,,,
코코넛설탕,1,식,,,,
코코넛슬라이스,1,식,,,,
코코넛워터,1,식,,,,
코코아,1,식,,,,
콘프레이크,1,농,,,,
콘플레이크,1,농,,,,
콩국물,1,식,,,,
콩물,1,식,,,,
쿠스쿠스,1,식,,,,
큐민파우더,1,식,,,,
크래비,1,식,,,,
크래커,1,식,,,,
크레미,1,식,,,,
크린베리,1,식,,,,
크림,1,식,,,,
크림수프,1,농,,,,
클로렐라가루,1,식,,,,
키엔페퍼,1,식,,,,
키위소스,1,식,,,,
키조개관자,1,식,,,,
타비스코 소스,1,식,,,,
타임 마른것,1,식,,,,
타피오카 전분,1,식,,,,
탈리아텔레,1,식,,,,
탈지분유,1,식,,,,
토란탕,1,농,,,,
토르티야,1,식,,,,
토마토 소스,1,식,토마토소스,표기(공백·괄호),A,
토마토 페스트,1,식,,,,
토마토 홀,1,식,,,,
토막 낸 닭,1,식,,,,
톳나물,1,식,,,,
통배추,1,식,,,,
통북어,1,농,,,,
통삼겹살,1,식,돼지고기,접미:살,A,
통아몬드,1,식,,,,
통오징어,1,식,,,,
통조림 연어,1,식,,,,
통조림 참치,1,식,,,,
통조림 홀토마토,1,식,,,,
통조림콩,1,식,,,,
통파,1,농,,,,
통후추부순것,1,식,,,,
트레비스,1,농,,,,
파래,1,농,,,,
파래(생것),1,식,,,,
파르미지아노 치즈,1,식,,,,
파마르산치즈,1,농,,,,
파마산 치즈,1,식,파마산치즈,표기(공백·괄호),A,
파마산가루,1,식,,,,
파마산치즈치즈,1,농,,,,
파뿌리,1,농,,,,
파스리가루,1,식,,,,
파스타면,1,식,,,,
파슬리 다진것,1,식,파슬리,표기(공백·괄호),A,
파슬리말린것,1,식,,,,
파인소프트 C,1,식,,,,
파인소프트 T,1,식,,,,
파인애플 통조림,1,식,,,,
파인애플 통조림 국물,1,식,,,,
파인애플청,1,식,,,,
파채,1,식,,,,
파트 페레멘테,1,식,,,,
파프리카 가루,1,식,파프리카가루,표기(공백·괄호),A,
파프리카(빨간색/노란색),1,식,,,,
"파프리카(빨강, 노랑, 청색)",1,식,,,,
파프리카(빨강/노랑),1,식,,,,
판곤약,1,식,,,,
팥삶은물,1,농,,,,
팥앙금,1,식,,,,
팽이,1,식,,,,
페스토소스,1,농,,,,
페이스트,1,식,,,,
페투치네,1,농,,,,
페페론치노,1,식,,,,
펜넬파스타,1,식,,,,
편 마늘,1,식,,,,
편마늘,1,식,,,,
포도식초,1,식,,,,
포두부,1,식,,,,
포카치아빵,1,식,,,,
포항초,1,식,,,,
폰즈소스,1,농,,,,
표고,1,식,,,,
표고버섯 밑동,1,식,,,,
표고버섯(마른것),1,식,건표고버섯,표기(공백·괄호),A,
푸룬,1,식,,,,
풋 고추,1,식,풋고추,표기(공백·괄호),A,
풋배추,1,농,,,,
풋사과,1,식,,,,
풋콩,1,농,,,,
피넷버터,1,식,,,,
피망채친것,1,식,,,,
피시소스,1,농,,,,
피자치즈(모짜렐라),1,식,,,,
피조개,1,농,,,,
피칸,1,식,,,,
피클링 스파이스,1,식,피클링스파이스,표기(공백·괄호),A,
핑크 페퍼,1,식,,,,
하얀된장,1,식,,,,
한돈(사태),1,식,,,,
한천가루,1,식,,,,
할라피뇨다진것,1,식,,,,
해삼,1,농,,,,
해선장,1,식,,,,
해조국수,1,식,,,,
햄다진것,1,식,,,,
허니머스터드,1,농,,,,
허니머스터드소스,1,식,,,,
허브(민트),1,농,,,,
허브가루,1,식,,,,
허브솔트,1,농,,,,
허브식초,1,식,,,,
허브크러스트,1,식,,,,
헤이즐넛,1,식,,,,
현미(불린것),1,식,,,,
현미가루,1,식,,,,
현미식초,1,식,,,,
현미쌀가루,1,식,,,,
현미튀밥,1,식,,,,
현미휴,1,식,,,,
호떡반죽,1,식,,,,
호밀가루,1,식,,,,
호박고구마,1,식,,,,
호부추,1,식,,,,
호이트와인,1,식,,,,
혼다랑어가쓰오부시,1,식,,,,
혼합견과,1,식,,,,
혼합견과류,1,식,,,,
홀그레인,1,식,,,,
홀그레인 머스터즈,1,식,,,,
홀그레인머스터드,1,식,,,,
홀스레디쉬,1,식,,,,
홍 피망,1,식,피망,표기(공백·괄호),A,
홍고추 다진것,1,식,홍고추,접미:다진것,A,
홍고추마른것,1,식,,,,
홍새우 튀김,1,식,,,,
홍차티백,1,농,,,,
홍초물 설탕,1,식,,,,
홍토마토,1,식,,,,
홍합살,1,식,홍합,접미:살,A,
화이트 와인,1,식,화이트와인,표기(공백·괄호),A,
화이트 초콜릿,1,식,,,,
화이트와인식초,1,식,,,,
화이트크림,1,식,,,,
황도,1,식,,,,
황태 머리,1,식,,,,
황태(채),1,식,,,,
후루츠칵테일,1,농,,,,
후르츠칵테일,1,식,,,,
후추가루,1,식,,,,
훈재연어,1,식,,,,
훈제 닭가슴살,1,식,,,,
훈제 오리,1,식,,,,
훈제 파프리카파우더,1,식,,,,
훈제오리가슴살,1,식,,,,
흑마늘진액,1,식,,,,
흰강낭콩,1,식,강낭콩,접두:흰,B,
흰깨,1,식,,,,
흰다리새우,1,식,,,,
흰로즈케일,1,식,,,,
흰목이버섯,1,식,흰목이버섯,수기,B,쇠고기 채소볶음에 목이버섯과 동시 등장
흰살 생선,1,식,,,,
흰설탕,1,농,설탕,접두:흰,B,
흰앙금,1,식,,,,
흰추후,1,식,,,,
