묶음,재료명,빈도,출처,표준명,판정,메모
69,자색고구마,4,식,,,
70,맛술,61,농식,,,
71,마요네즈,60,농식,,,
72,새송이버섯,59,농식,,,
73,전분,47,농식,,,
73,물전분,12,식,,,
74,파,56,농식,,,
75,김치,37,농식,,,
75,백김치,9,식,,,
75,신김치,4,농,,,
75,열무김치,4,농식,,,
76,닭가슴살,53,농식,,,
77,닭고기,43,농식,,,
77,닭고기살,10,식,,,
78,호두,50,농식,,,
79,물엿,49,농식,,,
80,브로콜리,48,농식,,,
81,아몬드,29,농식,,,
81,아몬드가루,13,농식,,,
81,아몬드슬라이스,6,식,,,
82,잣,46,농식,,,
83,빵가루,46,농식,,,
84,콩나물,45,농식,,,
85,토마토케첩,26,농식,,,
85,케첩,19,농식,,,
86,바질,39,농식,,,
86,바질가루,5,식,,,
87,쑥갓,41,농식,,,
88,참깨,39,농식,,,
89,어린잎,23,식,,,
89,어린잎채소,16,농식,,,
90,요거트,22,식,,,
90,플레인요거트,11,식,,,
90,플레인 요거트,6,식,,,
91,오렌지,28,농식,,,
91,오렌지주스,10,식,,,
92,유자청,37,식,,,
93,쪽파,36,농식,,,
94,숙주,35,농식,,,
95,카레가루,35,농식,,,
96,바나나,35,농식,,,
97,화이트와인,19,농식,,,
97,레드와인,12,농식,,,
97,와인,4,식,,,
98,밤,34,농식,,,
99,건포도,15,농식,,,
99,포도주스,7,식,,,
99,포도씨유,6,농식,,,
99,포도,6,농식,,,
100,매실액,33,농식,,,
101,현미,16,식,,,
101,현미유,11,식,,,
101,현미밥,6,식,,,
102,월계수잎,32,농식,,,
103,정종,31,농식,,,
104,굴소스,31,농식,,,
105,샐러리,30,농식,,,
106,겨자,13,농식,,,
106,연겨자,8,농식,,,
106,겨자가루,8,농식,,,
107,파인애플,28,농식,,,
108,김,28,농식,,,
109,베이컨,28,농식,,,
110,들기름,28,농식,,,
111,땅콩,24,농식,,,
111,다진 땅콩,4,식,,,
112,바지락,27,농식,,,
113,무순,27,농식,,,
114,튀김기름,27,농식,,,
115,흑임자,26,농식,,,
116,아스파라거스,26,농식,,,
117,로즈마리,26,농식,,,
118,다진 파,26,식,,,
119,비트,24,농식,,,
120,곤약,12,농식,,,
120,실곤약,12,식,,,
121,완두콩,23,농식,,,
122,연어,19,농식,,,
122,훈제연어,4,농식,,,
123,모시조개,18,농식,,,
123,조개,5,식,,,
124,연근,22,농식,,,
125,강력분,22,농식,,,
126,청경채,22,농식,,,
127,들깻가루,22,농식,,,
128,홍합,21,농식,,,
129,치커리,20,농식,,,
130,두유,20,식,,,
131,콩가루,12,농식,,,
131,날콩가루,8,농식,,,
132,튀김가루,19,농식,,,
133,매실청,19,식,,,
134,우엉,18,농식,,,
135,닭,18,농식,,,
136,브로컬리,18,식,,,
137,스파게티,14,농식,,,
137,스파게티면,4,농식,,,
138,고사리,17,농식,,,
139,당면,17,농식,,,
140,낙지,17,농식,,,
141,머스터드,17,농식,,,
142,참나물,17,농식,,,
143,옥수수,9,농식,,,
143,수수,4,농식,,,
143,옥수수통조림,4,농,,,
144,새싹채소,9,농식,,,
144,새싹,8,식,,,
145,팥,16,농식,,,
146,죽순,16,농식,,,
147,들깨가루,16,농식,,,
148,미림,16,농식,,,
149,전복,16,농식,,,
150,주꾸미,16,식,,,
151,게맛살,12,농식,,,
151,맛살,4,농식,,,
152,딸기,12,농식,,,
152,딸기잼,4,식,,,
153,도라지,15,농식,,,
154,멥쌀,15,농식,,,
155,고등어,15,농식,,,
156,검은깨,15,농식,,,
157,아보카도,15,농식,,,
158,계피가루,15,식,,,
159,박력분,15,식,,,
160,미역,9,농식,,,
160,건미역,6,식,,,
161,까나리액젓,9,농식,,,
161,액젓,6,농식,,,
162,오레가노,14,농식,,,
163,와사비,14,농식,,,
164,식빵,14,농식,,,
165,함초,10,식,,,
165,함초가루,4,식,,,
166,국수,8,농식,,,
166,쌀국수,6,농식,,,
167,은행,13,농식,,,
168,굴,13,농식,,,
169,라면,13,농식,,,
170,깨,13,농식,,,
171,라이스페이퍼,13,농식,,,
172,키위,13,농식,,,
173,인삼,13,농식,,,
174,견과류,13,농식,,,
175,블루베리,13,식,,,
176,이스트,9,농식,,,
176,드라이이스트,4,농식,,,
177,목이버섯,12,농식,,,
178,가래떡,12,농식,,,
179,수삼,12,농식,,,
180,쌀가루,12,농식,,,
181,크랜베리,12,식,,,
182,강황가루,12,식,,,
183,마,12,식,,,
184,알룰로스,12,식,,,
185,더덕,8,농식,,,
185,미더덕,4,농식,,,
186,참치,11,농식,,,
187,떡볶이떡,11,식,,,
188,베이킹파우더,11,식,,,
189,콩,10,농식,,,
190,만두피,10,농식,,,
191,유부,10,농식,,,
192,어묵,10,농식,,,
193,햄,10,농식,,,
194,다시물,10,농식,,,
195,가다랑어포,10,식,,,
196,관자,10,식,,,
197,판젤라틴,10,식,,,
